marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,HoofdCategorieMS,GEMEENTE,PROVINCIE,PLAATS,SITUERING,Adres,POSTCODE,STATUS,long,lat
#80ff80,small,,45608,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.494512921754,53.237326800918
#80ff80,small,,45609,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.494639163453,53.23816135586
#80ff80,small,,45610,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.495601259983,53.238296254998
#80ff80,small,,45611,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.495468563533,53.23896246142
#80ff80,small,,45612,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.495322965565,53.240293767439
#80ff80,small,,45613,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.494095634305,53.240332050326
#80ff80,small,,45614,,Archeologie,Groningen,Groningen,Leegkerk,,,9700 AA,beschermd,6.498276445269,53.240392272352
#80ff80,small,,45615,,Archeologie,Groningen,Groningen,Groningen,,,9700 AA,beschermd,6.501157458063,53.241165344674
#80ff80,small,,45616,,Archeologie,Groningen,Groningen,Groningen,,,9700 AA,beschermd,6.501598612517,53.24374928358
#80ff80,small,,45617,,Archeologie,Groningen,Groningen,Dorkwerd,,,9700 AA,beschermd,6.512081080413,53.250499017676
#80ff80,small,,45618,,Archeologie,Groningen,Groningen,Groningen,,,9700 AA,beschermd,6.500650740059,53.240684789586
#80ff80,small,,45655,,Archeologie,Menameradiel,Friesland,Marssum,,,9034 ZA,beschermd,5.727674459973,53.209558613348
#80ff80,small,,45656,,Archeologie,Menameradiel,Friesland,Deinum,,,9033 ZA,beschermd,5.723130210575,53.192983904436
#80ff80,small,,45657,,Archeologie,Menameradiel,Friesland,Boksum,,,9033 ZA,beschermd,5.731416381025,53.179481847513
#80ff80,small,,45658,,Archeologie,Menameradiel,Friesland,Boksum,,,9033 ZA,beschermd,5.726964160674,53.176313601168
#80ff80,small,,45659,,Archeologie,Menameradiel,Friesland,Boksum,,,9033 ZA,beschermd,5.734179051186,53.177065707998
#80ff80,small,,45660,,Archeologie,Menameradiel,Friesland,Blessum,,,9033 ZA,beschermd,5.710384885386,53.181265647616
#80ff80,small,,45661,,Archeologie,Menameradiel,Friesland,Dronrijp,,,9035 ZA,beschermd,5.638218242162,53.184673331055
#80ff80,small,,45662,,Archeologie,Menameradiel,Friesland,Dronrijp,,,9035 ZA,beschermd,5.646686672046,53.202401960782
#80ff80,small,,45663,,Archeologie,Menameradiel,Friesland,Menaldum,,,9036 ZA,beschermd,5.658077249463,53.209906718997
#80ff80,small,,45664,,Archeologie,Menameradiel,Friesland,Menaldum,,,9036 ZA,beschermd,5.662294586217,53.216402693045
#80ff80,small,,45665,,Archeologie,Menameradiel,Friesland,Menaldum,,,9036 ZA,beschermd,5.672278391086,53.216226624385
#80ff80,small,,45666,,Archeologie,Menameradiel,Friesland,Menaldum,,,9036 ZA,beschermd,5.648548329336,53.215768500082
#80ff80,small,,45667,,Archeologie,Menameradiel,Friesland,Menaldum,,,9036 ZA,beschermd,5.644456073554,53.212326880709
#80ff80,small,,45668,,Archeologie,Menameradiel,Friesland,Slappeterp,,,9033 ZA,beschermd,5.631207599445,53.217395480605
#80ff80,small,,45669,,Archeologie,Menameradiel,Friesland,Slappeterp,,,9033 ZA,beschermd,5.620169529923,53.213697400119
#80ff80,small,,45671,,Archeologie,Menameradiel,Friesland,Slappeterp,,,9033 ZA,beschermd,5.625328813667,53.215502354439
