marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Provincie,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,13238,,Kerk en kerkonderdeel,,,De Friese Meren,Friesland,Langweer,,Oasingaleane 9,8525 EL,beschermd,5.72171549608,52.957653169443
#0080ff,small,,13239,,Vanwege onderdelen kerk,,,De Friese Meren,Friesland,Langweer,,Oasingaleane 11,8525 EL,beschermd,5.721419191994,52.957824739245
#0080ff,small,,13240,,Overheidsgebouw,,,De Friese Meren,Friesland,Langweer,,Oasingaleane 17,8525 EL,beschermd,5.72115547211,52.958364656772
#0080ff,small,,13241,,Industrie- en poldermolen,,,De Friese Meren,Friesland,Langweer,,Boarnsweachsterdyk 3,8526 GA,beschermd,5.732092954498,52.960211718905
#0080ff,small,,13242,,Woonhuis,,,De Friese Meren,Friesland,Langweer,,Weversstreek 1,8525 EG,beschermd,5.724422679405,52.959424850435
#0080ff,small,,13243,,Woonhuis,,,De Friese Meren,Friesland,Langweer,,Weversstreek 3,8525 EG,beschermd,5.724333948,52.959496991546
#0080ff,small,,13244,,Woonhuis,,,De Friese Meren,Friesland,Langweer,,Weversstreek 5,8525 EG,beschermd,5.724275326754,52.959613979264
#0080ff,small,,13245,,Vanwege onderdelen kerk,,,De Friese Meren,Friesland,Legemeer,,Nummer 6,8528 DT,beschermd,5.708731987805,52.958686309031
#0080ff,small,,13246,,Vanwege onderdelen kerk,,,De Friese Meren,Friesland,Oldeouwer,,Jetze Veldstraweg 11,8513 CH,beschermd,5.815717710675,52.940862882367
#0080ff,small,,13247,,Kerk en kerkonderdeel,,,De Friese Meren,Friesland,Ouwsterhaule,,Jetze Veldstraweg 31,8513 CK,beschermd,5.813749053351,52.938821026228
#0080ff,small,,13248,,Vanwege onderdelen kerk,,,De Friese Meren,Friesland,Ouwster-Nijega,Bij,Jetze Veldstraweg 81,8514 CN,beschermd,5.805302145899,52.931266353158
#0080ff,small,,13249,,Boerderij,,,De Friese Meren,Friesland,Scharsterbrug,,Hollandiastraat 3,8517 HC,beschermd,5.776883267051,52.944761221138
#0080ff,small,,13251,,Industrie- en poldermolen,,,De Friese Meren,Friesland,Scharsterbrug,Bij,Hollandiastraat 11,8517 HC,beschermd,5.780283640057,52.945702634589
#0080ff,small,,13252,,Kerk en kerkonderdeel,,,De Friese Meren,Friesland,Sint Nicolaasga,,Kerkstraat 14,8521 JZ,beschermd,5.744322199243,52.923457420034
#0080ff,small,,13253,,,,,De Friese Meren,Friesland,Sint Nicolaasga,,Kerkstraat 14,8521 JZ,beschermd,5.744322199243,52.923457420034
#0080ff,small,,13254,,Kerk en kerkonderdeel,,,De Friese Meren,Friesland,Sint Nicolaasga,Bij,Omloop 2,8521 KE,beschermd,5.740746198033,52.924384679965
#0080ff,small,,13255,,Boerderij,,,De Friese Meren,Friesland,Sint Nicolaasga,,Westend 13,8521 NP,beschermd,5.73842272094,52.916528407113
